50	1.83558739854156E-010
60	1.75815580437862E-010
70	1.75387569750809E-010
80	1.7825998097887E-010
90	1.82655683153799E-010
100	1.87779201137261E-010
110	1.93303353698906E-010
120	1.99090308064995E-010
130	2.05123143214306E-010
140	2.11400010278816E-010
150	2.17939646148504E-010
160	2.24746466158564E-010
170	2.31823332474685E-010
180	2.39161717287846E-010
190	2.46728151265968E-010
200	2.54510391717203E-010
210	2.62469015667765E-010
220	2.70578024423306E-010
230	2.78805311630501E-010
240	2.87112064439304E-010
250	2.95466658248787E-010
350	3.76985491450299E-010
450	4.47250616676643E-010
550	5.04817158345984E-010
650	5.52469243586969E-010
750	5.93076057845125E-010
850	6.28857586118384E-010
950	6.61328185670443E-010
1050	6.91430801971055E-010
1150	7.19786397498918E-010
1250	7.46825132261135E-010
1350	7.72793780392243E-010
1450	7.97888920359626E-010
1550	8.22226039272256E-010
